=======================================================
  CSI Amplitude Bridge (occupancy from amplitude std)
  nodes=[1, 5] scale=10.0 window=3.0s
  backend=http://127.0.0.1:8000/sensor-data
=======================================================
[csi-amp] amp_std=0.841 -> presence=8.26 | n1=0.84(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.821 -> presence=8.25 | n1=0.82(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.788 -> presence=8.14 | n1=0.79(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.821 -> presence=8.16 | n1=0.82(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.803 -> presence=8.12 | n1=0.80(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.807 -> presence=8.1 | n1=0.81(rssi-20) n5=0.74(rssi-28)
[csi-amp] amp_std=0.817 -> presence=8.12 | n1=0.82(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.881 -> presence=8.33 | n1=0.88(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.875 -> presence=8.45 | n1=0.87(rssi-19) n5=0.69(rssi-28)
[csi-amp] amp_std=0.835 -> presence=8.42 | n1=0.84(rssi-19) n5=0.72(rssi-28)
[csi-amp] amp_std=0.813 -> presence=8.33 | n1=0.81(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.791 -> presence=8.21 | n1=0.79(rssi-19) n5=0.75(rssi-28)
[csi-amp] amp_std=0.827 -> presence=8.23 | n1=0.83(rssi-19) n5=0.73(rssi-28)
[csi-amp] amp_std=0.838 -> presence=8.27 | n1=0.84(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.817 -> presence=8.24 | n1=0.82(rssi-19) n5=0.64(rssi-28)
[csi-amp] amp_std=0.832 -> presence=8.26 | n1=0.83(rssi-19) n5=0.70(rssi-28)
[csi-amp] amp_std=0.832 -> presence=8.28 | n1=0.83(rssi-19) n5=0.65(rssi-28)
[csi-amp] amp_std=0.871 -> presence=8.41 | n1=0.87(rssi-19) n5=0.79(rssi-28)
[csi-amp] amp_std=0.899 -> presence=8.58 | n1=0.90(rssi-19) n5=0.76(rssi-28)
[csi-amp] amp_std=0.952 -> presence=8.86 | n1=0.95(rssi-19) n5=0.75(rssi-28)
[csi-amp] amp_std=0.932 -> presence=9.0 | n1=0.93(rssi-19) n5=0.71(rssi-28)
[csi-amp] amp_std=0.900 -> presence=9.0 | n1=0.90(rssi-19) n5=0.68(rssi-28)
[csi-amp] amp_std=1.659 -> presence=11.28 | n1=1.12(rssi-19) n5=1.66(rssi-28)
[csi-amp] amp_std=2.891 -> presence=16.57 | n1=1.54(rssi-19) n5=2.89(rssi-26)
[csi-amp] amp_std=3.225 -> presence=21.27 | n1=1.56(rssi-19) n5=3.23(rssi-28)
[csi-amp] amp_std=2.803 -> presence=23.3 | n1=1.39(rssi-19) n5=2.80(rssi-27)
